pid,id no,,es_print_ no,print,state_no,state,palette_no,palette,impression no,dimensions(wxh),watermark,impression notes,original site of installation,current location (if different),contact,contact_details,inventory_no,website_for_institutional_record,label,status,,Status,,Credit_line ,Status,,Terms_and_conditions,,Status,Request details,Status,Request details,Credit line ,Status,Request details,Terms and conditions,
objID1,flader1,see flader86-88,1,"Wolf Dreschel (fl. 1576–1609), after Erasmus Loy (fl. c.1520–1570), Architectural Perspective after Erasmus Loy (1/2), undated; c.1576-1609",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,,,, ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID2,flader2,see flader86-88,1,"Wolf Dreschel (fl. 1576–1609), after Erasmus Loy (fl. c.1520–1570), Architectural Perspective after Erasmus Loy (1/2), undated; c.1576-1609",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",2,,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID3,flader3,see flader86-88,2,"Wolf Dreschel (fl. 1576–1609), after Erasmus Loy (fl. c.1520–1570), Architectural Perspective after Erasmus Loy (2/2), undated; c.1576-1609",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",1,,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID4,flader4,see flader86-88,2,"Wolf Dreschel (fl. 1576–1609), after Erasmus Loy (fl. c.1520–1570), Architectural Perspective after Erasmus Loy (2/2), undated; c.1576-1609",I,Colour woodcut from at least two blocks,a,"Unknown (presumably black, red-brown)",2,,,,DE-Trostberg-unknown (large chest),"N/A-Private collection-Dr. Schultze-Westrum, Assenhausen (1976)",Dr Schultze-Westrum' in Assenhausen or family?,, , , ,details TBC,,to do,,,to do,,,,to do,,to do,,,to do,,,"This is a very rare piece. It's from ""Niederbayern"" and is named ""Türkentruhe"". The pictures are taken from a book and I don't know who has the copyright. My father took it with him to Greece and sold it to a Greek lady who owns an antique store in Athens. Maybe she still owns it and can send you a new picture with copyright. Her name is  Elenie Martinou, Aeoulu Nr.09 Athens."
objID5,flader5,,3,"Erasmus Loy (fl. c.1520–1570), Two Courtyards with Ornamental Grill and Two Seated Men, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel).",I,Colour woodcut from two blocks,a,"Black, red-orange",1,132×226 mm,"R' with two crossed keys, from Regensburg (similar to Briquet 1139) (Gnann)",Ornamental grill printed in red-orange; view of round window below arch in righthand arch similar to that in Hollstein 11,,AT-Vienna-Albertina,AT-Vienna-Albertina,repro@albertina.at,DG1984/103/2,https://sammlungenonline.albertina.at/?query=search=/record/objectnumbersearch=[DG1984/103/1]&showtype=record#/query/999017e6-850c-43c3-90c1-07c2e5436cbf,"Erasmus Loy (active in Regensburg around 1550 to 1570), Two depictions of Renaissance buildings framed by double arcades, around 1550, 13.2 × 22.6 cm, xx",done,,done,,"Courtesy of ""Albertina, Vienna""",done,,"This work is in the public domain and may be used freely. Please indicate the location ""Albertina, Vienna"" when publishing. If you use the work for scientific publications, we would be pleased to receive a link to the digital publication or the sending of a specimen copy to ourlibrary.
We provide the work in a resolution up to 300dpi, approx. A7 (1200 pixels / long page).
This allows quarterly catalogue images to be printed or digital presentations and web applications to be implemented.
For higher resolution images or new images, please use ourorder formor contact ourreproduction department. More information about reproductions can be foundhere.
Click on the image to download it:",,to do,,to do,,,to do,,,
objID6,flader6,,4,"Erasmus Loy (fl. c.1520–1570), Architectural Perspective with Two Buildings Connected by a Wall, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel)",I,Colour woodcut from two blocks,a,"Dark brown, red-brown",1,"159×290 mm (borders), 189×294mm (sheet)",,, ,US-Boston-Museum of Fine Arts,US-Boston-Museum of Fine Arts,mfaimages@mfa.org,Boston-MFA AL.421,https://collections.mfa.org/collections, ,ready to order,,to do,,,to do,,"The MFA does not allow cropping, bleeding, overprinting or manipulation of the Authorized Image(s) without its prior written permission. If the Authorized Image(s) is/are to be published in color, color proofs in a printed format must be submitted to the MFA for approval or correction at least ten (10) days before printing. If the Work is published in a digital medium, the provisions of the attached Schedule I (“Digital Images”) will apply. You may use the Authorized Image to prepare a digital separation of the Art Object. You may use this separation solely to produce the Work. You will not make any additional use of Art Object or the Authorized Image without the prior written permission from the MFA. The statement “Photograph © [date of publication] Museum of Fine Arts, Boston.” must appear within the simultaneously visible context of the Authorized Image(s) and, whenever possible, placed adjacent to it. The information referenced above under the heading “Art Object” must also appear in the Work at a location that, if not simultaneously visible, is easily accessible to the user (such as a source list, credit page, or, for digital Works, a linked window). You may not use the MFA’s name other than as required to provide the same notices, and all uses of any MFA name or Work will inure to the benefit of the MFA.",,to do,,to do,,,to do,,,
objID7,flader7,,5,"Erasmus Loy (fl. c.1520–1570),  Ornamental Design with Busts of Roman Emperors and Empresses,  Undated; suggested as c.1520–70 (Strauss) c.1560–70 (all of Loy's graphic work  Reichel). ",I,Colour woodcut from two blocks,a,"Dark brown, ochre",1,300×416mm.,,, ,UK-London-British Museum,UK-London-British Museum,sales@bmimages.com," London-BM 1895,0122.126",https://www.britishmuseum.org/collection/object/P_1895-0122-126," Erasmus Loy, Ornamental design with busts of Roman emperors and empresses; leaf ornaments and half-figures; two rows, colour woodcut from two blocks in dark brown and ochre and letterpress, ca 1550,  Height: 300 millimetres (Borderline) and Width: Width: 416 millimetres, xx",done,,done,,Ornamental design with busts of Roman emperors and empresses; leaf ornaments and half-figures by Erasmus Loy licensed under (CC BY-NC-SA 4.0)  https://creativecommons.org/licenses/by-nc-sa/4.0/.  © The Trustees of the British Museum,done,,"Here is what the BM’s copyright information page states for the low-res images that it provides free for download under CC BY-NC-SA 4.0 , I have followed up with my contact at the BM for confirmation.
For the avoidance of doubt, the British Museum considers the following to be commercial activities (this list is not exhaustive): 
• Anything that is in itself charged for, including textbooks and academic books or journals 
• An individual's website or blog that is used as a platform to promote or conduct commercial activities (for example, to sell products created by or services provided by such an individual) 
• A commercial organization's website or blog, including trading arms of charities freely distributed leaflets or merchandise that promote goods or services 

The British Museum considers the following to be non-commercial activities (this list is not exhaustive): 
• Use in websites as long as they are informational, academic or research-oriented and not linked to any commercial activity 

Response from the BM
If your use fulfils the criteria for the CC licence, then you can use the images under that licence and can order the images through the Free Image Service. Please see my earlier email. As mentioned, that licence is separate from us and I can’t advise any further on it.
",,to do,,to do,,,to do,,,
objID8,flader8,,6,"Erasmus Loy (fl. c.1520–1570), Ornament Panel, Undated; suggested as c.1520–70 (Strauss), c.1560–70 (all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,a,"Dark brown, ochre",1,415×283mm,,, ,UK-London-British Museum,UK-London-British Museum,sales@bmimages.com," London-BM 1895,0122.127",https://www.britishmuseum.org/collection/object/P_1895-0122-127,"Erasmus Loy, Ornament panel with four vertical rows of grotesques figures. Colour woodcut from two blocks in dark brown and ochre and letterpress, ca 1555, Height: 415 millimetres (Borderline), Width: Width: 283 millimetres, xx",done,,done,,Ornament panel with four vertical rows of grotesques figures by Erasmus Loy licensed under (CC BY-NC-SA 4.0)  https://creativecommons.org/licenses/by-nc-sa/4.0/.  © The Trustees of the British Museum,done,,"Here is what the BM’s copyright information page states for the low-res images that it provides free for download under CC BY-NC-SA 4.0 , I have followed up with my contact at the BM for confirmation.
For the avoidance of doubt, the British Museum considers the following to be commercial activities (this list is not exhaustive): 
• Anything that is in itself charged for, including textbooks and academic books or journals 
• An individual's website or blog that is used as a platform to promote or conduct commercial activities (for example, to sell products created by or services provided by such an individual) 
• A commercial organization's website or blog, including trading arms of charities freely distributed leaflets or merchandise that promote goods or services 

The British Museum considers the following to be non-commercial activities (this list is not exhaustive): 
• Use in websites as long as they are informational, academic or research-oriented and not linked to any commercial activity 

Response from the BM
If your use fulfils the criteria for the CC licence, then you can use the images under that licence and can order the images through the Free Image Service. Please see my earlier email. As mentioned, that licence is separate from us and I can’t advise any further on it.
",,to do,,to do,,,to do,,,
objID9,flader9,,7,"Erasmus Loy (fl. c.1520–1570), Four Decorative Panels with Foliage, Cow Skull, Nude Woman and Trophies, Undated; suggested as c.1510–20 (Leiß 1970, following Lehrs 1908), c.1535 (Berliner and Egger 1925); c.1520–70 (Strauss), c.1560–70 (Appuhn 1976; all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,a,"Black, orange-brown",1,,,,"CH-Zurich-Rössligasse 5, ‘Zur Glocke’",CH-Zurich-Musée national Suisse,CH-Zurich-Musée national Suisse,bildarchiv@nationalmuseum.ch,LM-7183.2,https://sammlung.nationalmuseum.ch/de/maincategory, Door. With paper run. Beschlägwerk with remnants of painting. Zurich. 185 x 78 cm. Door: fir wood. Paper. Metal.,done,,done,,Courtesy of Musée national Suisse. LM-7183.2,done,,"For higher resolution images or new images, please use ourorder formor contact ourreproduction department. More information about reproductions can be foundhere.Click on the image to download it:",,to do,,to do,,,to do,,,
objID10,flader10,,7,"Erasmus Loy (fl. c.1520–1570), Four Decorative Panels with Foliage, Cow Skull, Nude Woman and Trophies, Undated; suggested as c.1510–20 (Leiß 1970, following Lehrs 1908), c.1535 (Berliner and Egger 1925); c.1520–70 (Strauss), c.1560–70 (Appuhn 1976; all of Loy's graphic work, Reichel). ",I,Colour woodcut from two blocks,a,"Black, orange-brown",2,412×289mm or 395×275mm (Strauss 1550-1600) (Braunschweig);,Watermark: Briquet 1139 (Braunschweig).,412×289mm or 395×275mm (Strauss 1550-1600) (Braunschweig),,DE-Braunschweig-Herzog-Anton-Ulrich Museum,DE-Braunschweig-Herzog-Anton-Ulrich Museum,,ELoy WB 3.1,http://kk.haum-bs.de/?id=e-loy-wb3-0001,"Erasmus Loy, Vier Streifen einer Bordüren-Tapete, 1550-1650, Platte: 395 x 279, Blatt: 412 x 289, i63. or 163.",done,,done,,"Vier Streifen einer Bordüren-Tapete by Erasmus Loy licensed under (CC BY-NC-SA 4.0)  https://creativecommons.org/licenses/by-nc-sa/4.0/.  Courtesy of Herzog Anton Ulrich-Museum
.",done,,"Yes, you can publish the PDF of the requested print for online usage, but under the following licence “CC BY-NC-SA 4.0”.",,to do,,to do,,,to do,,,
